,old_index,Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Website,Known_For2,Known_For22
0,1,Cafe Lota,"Cafe, South Indian, North Indian, Beverages",1200," Pragati Maidan, New Delhi",4.9,3748,https://www.zomato.com/ncr/cafe-lota-pragati-maidan-new-delhi,"Pondicherry Fish Curry, Coconut Rabdi, Sabudana Pop Corn, Chicken Pasanda, Majestic Chicken, Bhapa Doi","Artistic Decor, The Service, Natural Ambience, Fusion Menu, Serene Ambience, Fusion Food"
1,3,Burma Burma,"Asian, Burmese, Bubble Tea, Desserts, Salad",1600," Cyber Hub, DLF Cyber City, Gurgaon",4.9,2636,https://www.zomato.com/ncr/burma-burma-dlf-cyber-city,"Coconut Milk Dessert, Honey Caviar, Kaffir Lime Cooler, Samosa Curry, Samosa Soup, Corn Curry","Knowledgeable Staff, Authentic, Soothing Ambience, Dessert Menu, Pure Veg, Cozy"
2,4,The Big Chill,"Continental, American, Italian",1500," Khan Market, New Delhi",4.9,6487,https://www.zomato.com/ncr/the-big-chill-khan-market-new-delhi,"Irish Cream Tiramisu, Penne Vodka, Mississippi Mudpie, Iced Tea Pitcher, Tuna Melt, Banofi Pie","Retro Ambience, Yummy Desserts, Big Portions, Big Menu, Happy Place, Great Decor"
3,5,Carnatic Cafe,South Indian,600," Lodhi Colony, New Delhi",4.9,2518,https://www.zomato.com/ncr/carnatic-cafe-lodhi-colony-new-delhi,"Malleshwari Dosa, Benne Khali Dosa, Obbattu, Raagi Masala Dosa, Bombat Dosa, Puliyogare","Cosy Ambience, Live Kitchen, Quiet Place, Calm, Cosy Place, Nice Decor"
4,6,"Cocktails & Dreams, Speakeasy","Nepalese, Tibetan, Beverages",2500," Sector 15, Gurgaon",4.9,1299,https://www.zomato.com/ncr/cocktails-dreams-speakeasy-sector-15,"Classic Martini, Coktails, Bloody Mary, Calamari, Bacon, Pork","Jazz Music, Band Playing, Bartender, Live Band, Live Performances, Bar Counter"
5,7,Natural Ice Cream,"Ice Cream, Desserts",400," Connaught Place, New Delhi",4.9,4014,https://www.zomato.com/NaturalsCP,"Watermelon Ice Cream, Choco Bite, Chocobite, Choco Almond, Roasted Almond Ice Cream, Tender Coconut Ice Cream","Bank for the Buck, Totally Worth it, Coffee Date, Table Service, Happy Place, Great Flavour"
6,8,Kuremal Mohan Lal Kulfi Wale,"Ice Cream, Desserts",200," Chawri Bazar, New Delhi",4.9,1120,https://www.zomato.com/ncr/kuremal-mohan-lal-kulfi-wale-chawri-bazar-new-delhi,"Orange Kulfi, Jamun Kulfi, Mixed Fruit, Fruit Cream, Ice Creams, Dessert","Bank for the Buck, Totally Worth it, Table Service, Authenticity, Concept, Owner"
7,9,Juggernaut,"South Indian, North Indian, Fast Food, Desserts, Beverages",700," Kailash Colony, New Delhi",4.8,2480,https://www.zomato.com/ncr/juggernaut-kailash-colony-new-delhi,"Podi Ghee Idli, Chettinad Idli, Ganne Ka Ras, Pesarattu, Appalam, Chettinad Curry","Everything was very Good, Calm, Lovely Ambience, Soothing Music, Warm Welcome, Ambience was Super Cool"
8,10,Comorin,"North Indian, Desserts, Beverages",2500," Two Horizon Center, Golf Course Road, Gurgaon",4.8,803,https://www.zomato.com/ncr/comorin-golf-course-road,"Champaran Style Mutton, Gunpowder Idli, Coktails, Sev Puri, Haleem, Chocolate Dessert","Bar Games, Vintage Decor, Soft Music, Fancy Crowd, Great Recommendations, Courteous Staff"
9,12,Cafeteria & Co.,"Cafe, Continental, Italian, Fast Food, Oriental, Beverages",1300," Vijay Nagar, New Delhi",4.8,5228,https://www.zomato.com/ncr/cafeteria-co-vijay-nagar-new-delhi,"Peri Peri Chicken Skewer, Tropical Heaven Sundae, Chicken Cannelloni, Banana Nutella Crepe, Chipotle Pizza, Blueberry Ice Cream","Highly Recommended, Amazing Atmosphere, Ambience is very Nice, Classy Place, Affordable, Cordial Staff"
