_id,Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude,Known_For2,Known_For22,score
1,Cafe Lota,"Cafe, South Indian, North Indian, Beverages",1200," Pragati Maidan, New Delhi",4.9,3748,3.9,37,https://www.zomato.com/ncr/cafe-lota-pragati-maidan-new-delhi,"National Crafts Museum, Gate 2, Bhairon Marg, Pragati Maidan, New Delhi",9.18E+11,28.613429,77.242471,"Pondicherry Fish Curry, Coconut Rabdi, Sabudana Pop Corn, Chicken Pasanda, Majestic Chicken, Bhapa Doi","Artistic Decor, The Service, Natural Ambience, Fusion Menu, Serene Ambience, Fusion Food",4.691427999
3,Burma Burma,"Asian, Burmese, Bubble Tea, Desserts, Salad",1600," Cyber Hub, DLF Cyber City, Gurgaon",4.9,2636,4.4,1238,https://www.zomato.com/ncr/burma-burma-dlf-cyber-city,"Shop 6, Ground Floor, Building 8, Tower C, Cyber Hub, DLF Cyber City, Gurgaon",9.11E+11,28.49446439,77.08853245,"Coconut Milk Dessert, Honey Caviar, Kaffir Lime Cooler, Samosa Curry, Samosa Soup, Corn Curry","Knowledgeable Staff, Authentic, Soothing Ambience, Dessert Menu, Pure Veg, Cozy",4.633999171
5,Carnatic Cafe,South Indian,600," Lodhi Colony, New Delhi",4.9,2518,4.2,931,https://www.zomato.com/ncr/carnatic-cafe-lodhi-colony-new-delhi,"84-85, Meharchand Market, Lodhi Road, Near Lodhi Colony, New Delhi",9.20E+11,28.584296,77.226613,"Malleshwari Dosa, Benne Khali Dosa, Obbattu, Raagi Masala Dosa, Bombat Dosa, Puliyogare","Cosy Ambience, Live Kitchen, Quiet Place, Calm, Cosy Place, Nice Decor",4.625993229
7,Natural Ice Cream,"Ice Cream, Desserts",400," Connaught Place, New Delhi",4.9,4014,4.5,6969,https://www.zomato.com/NaturalsCP,"L-8, L Block, Outer Circle, Connaught Place, New Delhi",9.11E+11,28.63444917,77.22203437,"Watermelon Ice Cream, Choco Bite, Chocobite, Choco Almond, Roasted Almond Ice Cream, Tender Coconut Ice Cream","Bank for the Buck, Totally Worth it, Coffee Date, Table Service, Happy Place, Great Flavour",4.701670615
9,Juggernaut,"South Indian, North Indian, Fast Food, Desserts, Beverages",700," Kailash Colony, New Delhi",4.8,2480,4.2,573,https://www.zomato.com/ncr/juggernaut-kailash-colony-new-delhi,"HS-16, Main Market, Kailash Colony, New Delhi",9.11E+11,28.55293914,77.24094898,"Podi Ghee Idli, Chettinad Idli, Ganne Ka Ras, Pesarattu, Appalam, Chettinad Curry","Everything was very Good, Calm, Lovely Ambience, Soothing Music, Warm Welcome, Ambience was Super Cool",4.559436732
12,Cafeteria & Co.,"Cafe, Continental, Italian, Fast Food, Oriental, Beverages",1300," Vijay Nagar, New Delhi",4.8,5228,4.1,2037,https://www.zomato.com/ncr/cafeteria-co-vijay-nagar-new-delhi,"G 14, Hudson Lane, Vijay Nagar, New Delhi",9.17E+11,28.69448281,77.2042758,"Peri Peri Chicken Skewer, Tropical Heaven Sundae, Chicken Cannelloni, Banana Nutella Crepe, Chipotle Pizza, Blueberry Ice Cream","Highly Recommended, Amazing Atmosphere, Ambience is very Nice, Classy Place, Affordable, Cordial Staff",4.659136285
15,Yum Yum Cha,"Asian, Japanese, Sushi, Desserts, Beverages, Rolls",1800," Cyber Hub, DLF Cyber City, Gurgaon",4.8,1742,4.2,643,https://www.zomato.com/ncr/yum-yum-cha-dlf-cyber-city,"2E, Ground Floor, Tower-A, Building 10, DLF Cyber City, Gurgaon",9.20E+11,28.4950508,77.0876302,"Spicy Basil Noodle, Takoyaki, Crispy Corn Cakes, Chilli Bowl, Sashimi Platter, Mochi Ice Cream","Gastronomical Experience, Happy Place, Themed Decor, Comfortable Seating, Decoration, Fancy Crowd",4.50297941
16,Coast Cafe,"Continental, Kerala",1400," Hauz Khas Village, New Delhi",4.8,1472,4.3,2115,https://www.zomato.com/ncr/coast-cafe-hauz-khas-village-new-delhi,"H-2, 2nd & 3rd Floor, Hauz Khas Village, New Delhi",9.11E+11,28.55481538,77.19520323,"Garam Curry Chicken, Aubergine Curry, Masala Fish Curry, Kerala Fish Fry, Kokum Curry, Avial","Balcony Seating, Classy Decor, Perfect Setting, Calm, Beautiful Cafe, Perfect Ambience",4.475081421
20,Gulati,"North Indian, Biryani, Hyderabadi, Mughlai, Kebab",2500," Pandara Road Market, New Delhi",4.7,6509,4.3,10500,https://www.zomato.com/ncr/gulati-pandara-road-new-delhi,"6, Pandara Road Market, New Delhi",9.11E+11,28.608007,77.23014,"Paneer Gilafi, Neza Kebab, Shahi Veg Platter, Handi Gosht, Methi Paneer, Hyderabadi Veg Biryani","Perfect Family Restaurant, Worth Waiting, Classy Place, Efficient Service, Good for Large Groups, Comfortable Seating Area",4.599672513
21,Olive Bar & Kitchen,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts",4000," Mehrauli, New Delhi",4.7,2734,3.2,21,https://www.zomato.com/ncr/olive-bar-kitchen-mehrauli-new-delhi,"6-8, Kalka Das Marg, Mehrauli, New Delhi",9.20E+11,28.52577788,77.18435403,"Cheese Souffle, Fettucine, Scallops, Gnocchi, Sunday Brunches, Date Night","Romantic Vibe, Romantic Setting, Valet Service, Sophisticated, Perfect Setting, Romantic Place",4.508115132
26,Cafe Wink,"Cafe, Continental, Italian",800," Anand Vihar, New Delhi",4.7,3291,4.3,6149,https://www.zomato.com/ncr/cafe-wink-anand-vihar-new-delhi,"G-1, Plot 9, Sikka Galaxy, Shreshtha Vihar, Anand Vihar, New Delhi",9.18E+11,28.6573105,77.3171005,"Bbq Spaghetti, Bbq Lasagna, Veg Omelette, Spaghetti Arrabiata, Pasta Al Forno, Exotica Garlic Bread","Pretty Cafe, Good Food Good Quality, Peaceful Ambience, Affordable, Awesome Cafe, Cute Ambience",4.530886538
32,Chili's Grill & Bar,"Mexican, Italian, American, Tex-Mex, Beverages, Desserts",1200," Pacific Mall, Tagore Garden, New Delhi",4.7,3956,4.3,3545,https://www.zomato.com/ncr/chilis-grill-bar-tagore-garden-new-delhi,"S 8 & 9, 2nd Floor, Pacific Mall, Tagore Garden, New Delhi",9.20E+11,28.64220025,77.10657667,"Molten Chocolate Chunk, Cajun Pasta, Smoked Chicken Leg, Santa Fe Salad, Tripple Dipper, Grilled Chicken Fajita","Variety of Selection, Good Server, Relaxed Atmosphere, Courteous Service, Family Place, Warm Service",4.551873447
43,AMA Cafe,"Cafe, Continental, Desserts, Beverages",550," Majnu ka Tila, New Delhi",4.6,5229,4.3,1684,https://www.zomato.com/ncr/ama-cafe-majnu-ka-tila-new-delhi,"House 6, New Colony, Majnu ka Tilla, New Delhi",9.18E+11,28.702644,77.228294,"Carrot Cinnamon, Pancakes and Maple Syrup, Pancake Breakfast, Choco Walnut Brownie, Banana Muffin, Apple Cinnamon Cake","Budget Friendly Food, Price Vs Portion Ratio, Aesthetic Ambience, Pretty Cafe, Cozy Vibe, Soothing Ambience",4.501458027
51,AB's - Absolute Barbecues,"North Indian, Continental, Desserts, Salad",1100," MGF Metropolis Mall, MG Road, Gurgaon",4.6,8002,3.7,53,https://www.zomato.com/ncr/abs-absolute-barbecues-mg-road,"Shop LG-01-02-03, Lower Ground Floor, Metropolis Mall, Sector 28, Near MG Road Metro Station, MG Road, Gurgaon, Gurgaon",9.17E+11,28.47954578,77.08169919,"Smoked Cottage Cheese, Chilli Chicken Wing, Chilli Ice Cream, Pineapple Grill, Masala Corn, Rabbit","Value for Money Experience, Budget Food, Live Grill, Excellent Service Food, Tasty and Awesome Food, Courteous Service",4.530513691
58,Indian Grill Room,"North Indian, Mughlai, Beverages, Kebab",1800," Suncity Business Tower, Golf Course Road, Gurgaon",4.6,3438,4.1,12400,https://www.zomato.com/ncr/indian-grill-room-golf-course-road,"315, 3rd Floor, Suncity Business Tower, Golf Course Road, Gurgaon",9.20E+11,28.43348273,77.1054012,"Pineapple Jalebi, Ajwain Paneer Tikka, Gulkand Ki Kheer, Triffle Pudding, Tandoori Ananas, Blue Ocean Mocktail","Buffet Variety and Quality, Classy Decor, Attentive Service, Good Food Good Quality, Live Kitchen, Complimentary Drinks",4.464997945
61,Barbeque Nation,"North Indian, BBQ, Beverages, Desserts",1500," Unity One Mall, Janakpuri, New Delhi",4.6,2881,3.5,1280,https://www.zomato.com/ncr/barbeque-nation-vikaspuri-new-delhi,"Second Floor, Unity One Mall, Near Janakpuri West Metro Station, Vikaspuri, New Delhi",9.18E+11,28.62861127,77.07575843,"Grilled Shrimp, Cajun Potatoes, Matka Phirni, Pan Kulfi, Grilled Pineapple, Barbeque","Live Grill, Complimentary Drinks, Service is Great and Fast, Themed Decor, Courteous Service, Comfortable Seating Area",4.447443518
62,Di Ghent Cafe,"European, Belgian",1700," Cross Point Mall, DLF Phase 4, Gurgaon",4.6,2346,4.2,2886,https://www.zomato.com/ncr/di-ghent-cafe-dlf-phase-4,"207, Level 2, Cross Point Mall, DLF Phase 4, Gurgaon",9.11E+11,28.4683763,77.0831096,"Yogurt Smoothie, Lamb Lasagna, Egg Benedict, Chicken Panini, Baguette, Smoked Salmon","Breakfast Joint, Attentive Service, Warm Place, Cosy Ambience, Warm Ambience, Beautiful Cafe",4.425670665
65,The Yellow Chilli,"North Indian, Mughlai, Chinese, Beverages, Desserts, Kebab",1600," Sector 110, Noida",4.6,2575,3.9,1207,https://www.zomato.com/ncr/the-yellow-chilli-sector-110-noida,"GT 1 - 2, 1st Floor, Sector 104, Near Sector 110, Noida",9.19E+11,28.54035801,77.36824997,"Shyam Savera, Lalla Mussa Dal, Kurkuri Bhindi, Paneer Taka Tak, Dahi Kabab, Chilli Garlic Noodles","Food and Service, Ambience is Beautiful, Buffet Variety and Quality, Keto Options, Taste of Food, Extensive Bar Menu",4.435707224
66,Mahabelly,"Kerala, South Indian, Seafood, Biryani",700," DLF Avenue, Saket, New Delhi",4.6,2323,4.3,11600,https://www.zomato.com/mahabelly,"MA-A05, Ground Floor, Restaurant Block, DLF Avenue, Saket, New Delhi",9.11E+11,28.52724131,77.21680172,"Chicken Varattiyathu, Sweet Coconut Dosa, Mango Prawn Curry, Kothu Porotta, Pork Roast, Egg Appam","Dinner Menu, Simple Decor, Taste of Food, Warm Hospitality, Ample Seating Area, Fantastic Service",4.424594442
72,The Pasta Bowl Company,"Italian, Fast Food, Pizza, Pasta",1300," Cross Point Mall, DLF Phase 4, Gurgaon",4.6,1479,4.2,692,https://www.zomato.com/ncr/the-pasta-bowl-company-dlf-phase-4,"GL 201, Floor 2, Cross Point Mall, DLF Phase 4, Gurgaon",9.11E+11,28.4682825,77.0833374,"Tortellini Puttanesca, Parma Ham Salad, Chicken Breast Sandwich, Spinach Ravioli, Ravioli Pasta, Orange Mojito","Cozy Ambience, Quality of Food, Live Kitchen, Cozy Place, New Menu, More Variety",4.373219411
78,Cafe Parmesan,"Italian, Pizza, Beverages",1800," Sector 15, Faridabad",4.6,1477,4.1,1257,https://www.zomato.com/ncr/cafe-parmesan-sector-15-faridabad,"SCF-42, 1st Floor, HUDA Market, Sector 15, Faridabad",9.20E+11,28.39523789,77.32358616,"Bacon Panini, Chocolate Torte, Belgian Choco Shake, Veg Panini, Ravioli, Chicken Lasagna","Relaxed Atmosphere, Attentive Staff, Cozy Place, Friendly Service, New Menu, Fresh Ingredients",4.373061902
